URL,MODEL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/ly-do-nhieu-doanh-nghiep-thoai-von-bat-thanh-post1823680.tpo,gpt4o-mini,0.0997,0.0902,0.0818,0.0001,0.6199,3400,9.8900,2003
https://tienphong.vn/gia-dau-vang-tang-dung-dung-vi-my-khong-kich-iran-post1823885.tpo,gpt4o,0.2405,0.1957,0.1661,0.0094,0.5724,7603,22.5300,2072
https://tienphong.vn/gia-dau-vang-tang-dung-dung-vi-my-khong-kich-iran-post1823885.tpo,gpt4o-mini,0.1855,0.1595,0.1467,0.0044,0.6245,6266,18.7000,2020
https://tienphong.vn/gia-vang-quoc-te-co-the-con-tang-manh-post1823905.tpo,gpt4o,0.1127,0.1005,0.0942,0.0001,0.5867,10499,11.0400,3650
https://tienphong.vn/gia-vang-quoc-te-co-the-con-tang-manh-post1823905.tpo,gpt4o-mini,0.0490,0.0452,0.0449,0.0000,0.5803,3619,4.6900,3461
https://tienphong.vn/nhieu-an-so-thang-3-vn-index-co-chinh-phuc-duoc-1900-diem-post1823912.tpo,gpt4o,0.2258,0.1978,0.1775,0.0122,0.5901,6776,21.7500,1962
https://tienphong.vn/nhieu-an-so-thang-3-vn-index-co-chinh-phuc-duoc-1900-diem-post1823912.tpo,gpt4o-mini,0.0851,0.0780,0.0729,0.0000,0.5622,2549,8.8300,1800
https://tienphong.vn/nguoi-mua-vang-lai-dam-post1823873.tpo,gpt4o,0.4068,0.3107,0.2644,0.0853,0.6342,5952,38.5800,1290
https://tienphong.vn/nguoi-mua-vang-lai-dam-post1823873.tpo,gpt4o-mini,0.3475,0.2683,0.2627,0.0413,0.6743,5046,35.0300,1268
https://tienphong.vn/bo-xay-dung-danh-gia-toan-dien-hieu-qua-dau-tu-san-bay-long-thanh-post1823803.tpo,gpt4o,0.2540,0.2115,0.1776,0.0235,0.6230,7225,23.0800,2078
https://tienphong.vn/bo-xay-dung-danh-gia-toan-dien-hieu-qua-dau-tu-san-bay-long-thanh-post1823803.tpo,gpt4o-mini,0.1980,0.1713,0.1706,0.0087,0.6278,6535,18.7100,2019
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,gpt4o,0.3694,0.3012,0.2744,0.0758,0.5987,4880,32.2200,1418
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,gpt4o-mini,0.1834,0.1625,0.1464,0.0067,0.6020,4977,17.4300,1308
https://tienphong.vn/hang-tram-hoc-sinh-da-nang-tranh-tai-robotics-va-drone-post1823977.tpo,gpt4o,0.4798,0.3882,0.3804,0.1584,0.7580,5256,44.9600,1376
https://tienphong.vn/hang-tram-hoc-sinh-da-nang-tranh-tai-robotics-va-drone-post1823977.tpo,gpt4o-mini,0.4193,0.3333,0.3199,0.1093,0.6818,6673,38.2400,1331
https://tienphong.vn/pgsts-pham-manh-ha-diem-so-khong-la-thuoc-do-kha-nang-thich-nghi-cua-tre-trong-cuoc-song-post1823820.tpo,gpt4o,0.1527,0.1308,0.1171,0.0014,0.5357,6012,15.3700,2806
https://tienphong.vn/pgsts-pham-manh-ha-diem-so-khong-la-thuoc-do-kha-nang-thich-nghi-cua-tre-trong-cuoc-song-post1823820.tpo,gpt4o-mini,0.1420,0.1201,0.1084,0.0007,0.5268,7588,13.4400,2763
https://tienphong.vn/2-nu-sinh-lop-8-bi-bat-ve-lam-vo-sau-tet-post1823797.tpo,gpt4o,0.4082,0.3385,0.3242,0.0816,0.6762,4404,38.4200,1257
https://tienphong.vn/2-nu-sinh-lop-8-bi-bat-ve-lam-vo-sau-tet-post1823797.tpo,gpt4o-mini,0.1801,0.1581,0.1612,0.0075,0.7015,2849,18.7700,1143
https://tienphong.vn/bao-gio-ha-noi-cong-bo-thoi-gian-thi-tuyen-lop-10-post1823793.tpo,gpt4o,0.2619,0.2096,0.2081,0.0222,0.6329,3827,25.2400,1384
https://tienphong.vn/bao-gio-ha-noi-cong-bo-thoi-gian-thi-tuyen-lop-10-post1823793.tpo,gpt4o-mini,0.3060,0.2488,0.2326,0.0459,0.6741,8725,29.7400,1418
https://tienphong.vn/ong-hoang-minh-son-lam-quyen-bo-truong-bo-giao-duc-va-dao-tao-post1823703.tpo,vit5,0.3659,0.3645,0.3659,0.1906,0.8656,10139,35.5100,
https://tienphong.vn/ong-hoang-minh-son-lam-quyen-bo-truong-bo-giao-duc-va-dao-tao-post1823703.tpo,gpt4o,0.6205,0.4966,0.4841,0.2999,0.7346,6929,61.6800,1160
https://tienphong.vn/ong-hoang-minh-son-lam-quyen-bo-truong-bo-giao-duc-va-dao-tao-post1823703.tpo,gpt4o-mini,0.4727,0.4123,0.3909,0.2062,0.7573,4661,46.7300,1095
https://tienphong.vn/hoc-sinh-se-duoc-day-khoi-nghiep-tu-tieu-hoc-post1823526.tpo,gpt4o,0.3972,0.3393,0.2685,0.0919,0.6841,6810,35.7900,1760
https://tienphong.vn/hoc-sinh-se-duoc-day-khoi-nghiep-tu-tieu-hoc-post1823526.tpo,gpt4o-mini,0.1577,0.1447,0.1305,0.0026,0.6417,4174,15.6800,1565
https://tienphong.vn/dao-tao-y-khoa-khong-the-chi-trong-giang-duong-post1823547.tpo,gpt4o,0.3613,0.3220,0.3027,0.0963,0.6652,7066,34.3200,1828
https://tienphong.vn/dao-tao-y-khoa-khong-the-chi-trong-giang-duong-post1823547.tpo,gpt4o-mini,0.1220,0.1110,0.1109,0.0005,0.6460,3128,11.9700,1598
https://tienphong.vn/ha-noi-du-chi-300-ty-ho-tro-dao-tao-1000-tien-si-post1823517.tpo,gpt4o,0.2991,0.2466,0.1963,0.0277,0.5903,5988,27.5500,1732
https://tienphong.vn/ha-noi-du-chi-300-ty-ho-tro-dao-tao-1000-tien-si-post1823517.tpo,gpt4o-mini,0.2150,0.1777,0.1648,0.0092,0.5816,5406,19.9800,1657
https://tienphong.vn/tuong-trinh-cua-giao-vien-bi-to-bat-35-hoc-sinh-liem-dat-post1823464.tpo,gpt4o,0.3997,0.3351,0.2981,0.0977,0.6211,6498,37.7100,1381
https://tienphong.vn/tuong-trinh-cua-giao-vien-bi-to-bat-35-hoc-sinh-liem-dat-post1823464.tpo,gpt4o-mini,0.1924,0.1655,0.1477,0.0091,0.6688,3593,19.3100,1257
https://tienphong.vn/hanh-trinh-vuot-qua-noi-so-cua-sinh-vien-y-khoa-post1823411.tpo,gpt4o,0.1995,0.1694,0.1348,0.0054,0.5895,5410,18.3400,2399
https://tienphong.vn/hanh-trinh-vuot-qua-noi-so-cua-sinh-vien-y-khoa-post1823411.tpo,gpt4o-mini,0.1078,0.0976,0.0836,0.0001,0.5749,3849,9.7500,2255
https://tienphong.vn/dai-hoc-duy-tan-khang-dinh-vai-tro-lanh-dao-hoc-thuat-du-lich-trong-ky-nguyen-ai-tai-apacchrie-tokyo-post1823404.tpo,gpt4o,0.1786,0.1623,0.1434,0.0058,0.6544,5198,18.1500,2252
https://tienphong.vn/dai-hoc-duy-tan-khang-dinh-vai-tro-lanh-dao-hoc-thuat-du-lich-trong-ky-nguyen-ai-tai-apacchrie-tokyo-post1823404.tpo,gpt4o-mini,0.1033,0.0881,0.0857,0.0001,0.6673,3618,10.0000,2127
https://tienphong.vn/bi-chi-ra-nhieu-bat-cap-ve-ve-sinh-dinh-duong-ban-tru-truong-mam-non-xin-loi-phu-huynh-post1823385.tpo,gpt4o,0.2284,0.1951,0.1677,0.0128,0.6004,6419,22.0200,1842
https://tienphong.vn/bi-chi-ra-nhieu-bat-cap-ve-ve-sinh-dinh-duong-ban-tru-truong-mam-non-xin-loi-phu-huynh-post1823385.tpo,gpt4o-mini,0.1950,0.1701,0.1510,0.0103,0.5749,4750,19.6300,1814
https://tienphong.vn/ila-debate-contest-2026-san-choi-tranh-bien-hoc-thuat-chuan-quoc-te-post1823379.tpo,gpt4o,0.1874,0.1675,0.1463,0.0078,0.6761,4527,17.9200,2286
https://tienphong.vn/ila-debate-contest-2026-san-choi-tranh-bien-hoc-thuat-chuan-quoc-te-post1823379.tpo,gpt4o-mini,0.1378,0.1220,0.1051,0.0010,0.6528,5321,12.9900,2207
https://tienphong.vn/cac-nguoi-dep-hoa-hau-viet-nam-check-in-tai-ngoi-chua-2000-nam-tuoi-o-bac-ninh-post1824000.tpo,gpt4o,0.3128,0.2326,0.1880,0.0261,0.6167,3125,28.2600,1228
https://tienphong.vn/cac-nguoi-dep-hoa-hau-viet-nam-check-in-tai-ngoi-chua-2000-nam-tuoi-o-bac-ninh-post1824000.tpo,gpt4o-mini,0.3760,0.2991,0.2338,0.0463,0.6105,6146,34.3500,1265
https://tienphong.vn/bien-nguoi-do-ve-song-day-xem-cac-do-vat-post1823974.tpo,gpt4o,0.3728,0.2938,0.2528,0.0429,0.6043,4387,33.0400,1239
https://tienphong.vn/bien-nguoi-do-ve-song-day-xem-cac-do-vat-post1823974.tpo,gpt4o-mini,0.1750,0.1380,0.1345,0.0015,0.5790,2627,15.5700,1138
